date;time;type;value;unit
28/01/2015;12:02:44.930;indoor relative humidity;35.0;%
28/01/2015;12:03:44.823;indoor relative humidity;35.0;%
28/01/2015;12:03:49.224;indoor temperature;21.8;°C
28/01/2015;12:03:56.834;volatile organic compounds;0.05;ppm
28/01/2015;12:04:01.234;carbon dioxide;414;ppm
28/01/2015;12:04:45.837;indoor relative humidity;35.0;%
28/01/2015;12:05:46.209;indoor relative humidity;35.0;%
28/01/2015;12:06:46.532;indoor relative humidity;35.0;%
28/01/2015;12:06:50.932;indoor temperature;21.8;°C
28/01/2015;12:06:56.632;volatile organic compounds;0.05;ppm
28/01/2015;12:06:59.442;carbon dioxide;414;ppm
28/01/2015;12:07:46.524;indoor relative humidity;35.0;%
28/01/2015;12:08:45.617;indoor relative humidity;35.0;%
28/01/2015;12:09:47.109;indoor relative humidity;35.0;%
28/01/2015;12:09:49.339;indoor temperature;21.7;°C
28/01/2015;12:09:55.350;volatile organic compounds;0.05;ppm
28/01/2015;12:10:00.950;carbon dioxide;414;ppm
28/01/2015;12:10:44.832;indoor relative humidity;35.0;%
28/01/2015;12:11:44.434;indoor relative humidity;35.0;%
28/01/2015;12:12:45.636;indoor relative humidity;35.0;%
28/01/2015;12:12:50.347;indoor temperature;21.8;°C
28/01/2015;12:12:55.157;volatile organic compounds;0.04;ppm
28/01/2015;12:13:00.057;carbon dioxide;411;ppm
28/01/2015;12:13:47.039;indoor relative humidity;35.0;%
28/01/2015;12:14:46.531;indoor relative humidity;35.0;%
28/01/2015;12:15:45.734;indoor relative humidity;35.0;%
28/01/2015;12:15:51.044;indoor temperature;21.8;°C
28/01/2015;12:15:57.064;volatile organic compounds;0.04;ppm
28/01/2015;12:16:01.944;carbon dioxide;411;ppm
28/01/2015;12:16:45.307;indoor relative humidity;35.0;%
28/01/2015;12:17:45.519;indoor relative humidity;35.0;%
28/01/2015;12:18:45.932;indoor relative humidity;35.0;%
28/01/2015;12:18:50.762;indoor temperature;21.8;°C
28/01/2015;12:18:56.452;volatile organic compounds;0.05;ppm
28/01/2015;12:19:02.163;carbon dioxide;414;ppm
28/01/2015;12:19:46.014;indoor relative humidity;35.0;%
28/01/2015;12:20:46.337;indoor relative humidity;35.0;%
28/01/2015;12:21:45.529;indoor relative humidity;35.0;%
28/01/2015;12:21:49.749;indoor temperature;21.7;°C
28/01/2015;12:21:54.070;volatile organic compounds;0.05;ppm
28/01/2015;12:22:01.970;carbon dioxide;414;ppm
28/01/2015;12:22:46.032;indoor relative humidity;35.0;%
28/01/2015;12:23:47.124;indoor relative humidity;35.0;%
28/01/2015;12:24:46.136;indoor relative humidity;35.0;%
